representation,model,checkpoint_seed,task_id,metric_scope,region_id,receiver,horizon,count,n_origins,mae_db,rmse_db,source_file,source_key,status
2d,autoformer_csa,41,new-point-powder-600-800,target_vector,all,,1,,,0.9707809686660768,1.8128905296325684,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-point-powder-600-800,target_vector,all,,15,,,1.0084691047668457,1.867958307266236,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-point-powder-600-800,target_vector,all,,60,,,1.1466602087020874,2.067605972290039,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-site-aerpaw-600-800,target_vector,all,,1,,,1.1676291227340698,1.9665645360946653,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-site-aerpaw-600-800,target_vector,all,,15,,,1.2383341789245603,2.0866003036499023,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-site-aerpaw-600-800,target_vector,all,,60,,,1.4228695631027222,2.3369288444519043,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-site-ara-600-800,target_vector,all,,1,,,1.735736608505249,2.9619414806365967,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-site-ara-600-800,target_vector,all,,15,,,1.810105800628662,3.139368295669556,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-site-ara-600-800,target_vector,all,,60,,,1.9704326391220093,3.537451982498169,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
2d,autoformer_csa,41,new-site-cosmos-600-800,target_vector,all,,1,,,0.4948000609874725,1.1143383979797363,evaluation/results/tables/transfer_2d_zero_shot_all_seeds.csv,,completed
