model,checkpoint_seed,task_id,mae_t1_db,rmse_t1_db,mae_t15_db,rmse_t15_db,mae_t60_db,rmse_t60_db
linearar2d,40,new-point-powder-600-800,0.9053860306739808,1.736963987350464,0.9686300158500672,1.8204777240753167,1.0952093601226809,2.00679349899292
linearar2d,40,new-site-aerpaw-600-800,1.1020272970199585,1.8378406763076784,1.2890501022338867,2.091581344604492,1.7351038455963137,2.622112274169922
linearar2d,40,new-site-ara-600-800,1.6276330947875977,2.77454686164856,1.7929930686950684,3.0550248622894287,2.092936515808105,3.558504343032837
linearar2d,40,new-site-cosmos-600-800,0.5476804971694946,1.0878808498382568,0.7826316952705383,1.2910760641098022,1.3868201971054075,1.9744302034378047
linearar2d,40,new-site-new-band-aerpaw-2400-2600,0.9834370017051696,1.7343084812164309,1.07674241065979,1.8394087553024288,1.294694423675537,2.067725896835327
linearar2d,40,new-site-new-band-ara-2400-2600,1.379978060722351,2.461252927780152,1.524954319000244,2.616873025894165,1.826413869857788,2.945812702178955
linearar2d,40,new-site-new-band-cosmos-2400-2600,0.2789029479026794,0.4216909408569336,0.5648097991943359,0.8008167147636414,1.2771472930908203,1.7770180702209473
linearar2d,40,reference-powder-600-800,0.7893333435058594,1.703068494796753,0.8571070432662964,1.7975358963012695,0.984136998653412,1.9676698446273804
linearar2d,41,new-bands-powder-2400-2600,0.5251454710960388,1.1623342037200928,0.6502369046211243,1.3433115482330322,0.9686567783355712,1.8062090873718264
linearar2d,41,new-bands-powder-3500-3700,0.1269285380840301,0.2688748836517334,0.2136295437812805,0.3891263902187347,0.4347459673881531,0.7473166584968567
linearar2d,41,new-bands-powder-5725-5925,0.1067864075303077,0.1957562863826751,0.1960180103778839,0.3396177887916565,0.4216887354850769,0.723349392414093
linearar2d,41,new-bands-powder-800-1000,0.6495423913002014,2.073679208755493,0.7762925624847412,2.3175222873687744,1.0301042795181274,2.5065910816192627
linearar2d,41,new-point-powder-600-800,0.9063144326210022,1.7367745637893677,0.9708511233329772,1.8198176622390747,1.1011940240859983,2.00211763381958
linearar2d,41,new-site-aerpaw-600-800,1.0935128927230835,1.8363908529281616,1.2620936632156372,2.078656911849976,1.6487867832183838,2.5660712718963623
linearar2d,41,new-site-ara-600-800,1.6264296770095823,2.775018215179444,1.7890170812606812,3.05623722076416,2.076190948486328,3.55541467666626
linearar2d,41,new-site-cosmos-600-800,0.519798994064331,1.0788639783859253,0.7170460820198059,1.2395024299621582,1.239475131034851,1.7950170040130615
linearar2d,41,new-site-new-band-aerpaw-2400-2600,0.981127917766571,1.7327252626419067,1.068587064743042,1.8368628025054927,1.2727090120315552,2.0608465671539307
linearar2d,41,new-site-new-band-ara-2400-2600,1.3731404542922974,2.459702730178833,1.5058554410934448,2.6126861572265625,1.7788175344467163,2.926887273788452
linearar2d,41,new-site-new-band-cosmos-2400-2600,0.242215558886528,0.3934829235076904,0.4779587984085083,0.6955743432044983,1.087871551513672,1.5275324583053589
linearar2d,41,reference-powder-600-800,0.7888454794883728,1.7028733491897583,0.8558602333068848,1.796845555305481,0.9796575307846068,1.9633580446243288
linearar2d,42,new-bands-powder-2400-2600,0.5424340963363647,1.1674824953079224,0.6973541378974915,1.370366454124451,1.0848406553268433,1.9156242609024048
linearar2d,42,new-bands-powder-3500-3700,0.1448244452476501,0.2913538515567779,0.2685024738311767,0.4842369854450226,0.5760927796363831,1.0134122371673584
linearar2d,42,new-bands-powder-5725-5925,0.1260470896959304,0.2261495143175125,0.2531480193138122,0.4471423625946045,0.5650601983070374,1.0000935792922974
linearar2d,42,new-bands-powder-800-1000,0.664842426776886,2.075255870819092,0.8236380219459534,2.338284492492676,1.1527624130249023,2.6010735034942627
linearar2d,42,new-point-powder-600-800,0.906035304069519,1.7369234561920166,0.9697867631912231,1.820128083229065,1.1004071235656738,2.003727912902832
linearar2d,42,new-site-aerpaw-600-800,1.0973138809204102,1.8398479223251345,1.2841641902923584,2.1020631790161133,1.7491804361343384,2.679359674453736
linearar2d,42,new-site-ara-600-800,1.629570484161377,2.776607275009156,1.8025026321411133,3.0623390674591064,2.141061782836914,3.597551822662353
linearar2d,42,new-site-cosmos-600-800,0.5380092859268188,1.0920518636703491,0.7801608443260193,1.325000882148743,1.423736810684204,2.115699291229248
linearar2d,42,new-site-new-band-aerpaw-2400-2600,0.9874893426895142,1.7368674278259275,1.0913124084472656,1.854394555091858,1.34622061252594,2.1420042514801025
linearar2d,42,new-site-new-band-ara-2400-2600,1.3846193552017212,2.462632179260254,1.5471315383911133,2.630103349685669,1.9037014245986936,3.015040636062622
linearar2d,42,new-site-new-band-cosmos-2400-2600,0.2824947834014892,0.4373996257781982,0.5905258655548096,0.8744206428527832,1.3663172721862793,1.9919812679290767
linearar2d,42,reference-powder-600-800,0.7896539568901062,1.703080415725708,0.858119785785675,1.79751718044281,0.9879597425460817,1.966873288154602
linearar2d,43,new-bands-powder-2400-2600,0.5342755317687988,1.16502583026886,0.6774269342422485,1.3579671382904053,1.0393590927124023,1.8672362565994265
linearar2d,43,new-bands-powder-3500-3700,0.1391452997922897,0.2830416262149811,0.2518189251422882,0.450050413608551,0.5360963940620422,0.9203412532806396
linearar2d,43,new-bands-powder-5725-5925,0.1191044300794601,0.2152104377746582,0.2350943982601165,0.4089542329311371,0.524251401424408,0.90310800075531
linearar2d,43,new-bands-powder-800-1000,0.6618368029594421,2.0751726627349854,0.8118446469306946,2.328017473220825,1.1210870742797852,2.560787439346313
linearar2d,43,new-point-powder-600-800,0.9053525924682616,1.73661470413208,0.969026744365692,1.819922685623169,1.0979374647140503,2.003457307815552
linearar2d,43,new-site-aerpaw-600-800,1.0961873531341553,1.8361417055130005,1.2748126983642578,2.0867602825164795,1.7015467882156372,2.61022686958313
