model,seed,chunk_id,bin_mhz,site,split,horizon,mae_db,rmse_db
autoformer_csa,40,powder_600_800_t4t6,705.5,unknown,2d_test,1,0.6614186763763428,1.0473400354385376
autoformer_csa,40,powder_600_800_t4t6,706.5,unknown,2d_test,1,0.6439705491065979,1.0415343046188354
autoformer_csa,40,powder_600_800_t4t6,707.5,unknown,2d_test,1,0.7763786315917969,1.223684787750244
autoformer_csa,40,powder_600_800_t4t6,708.5,unknown,2d_test,1,0.7513722777366638,1.183870553970337
autoformer_csa,40,powder_600_800_t4t6,709.5,unknown,2d_test,1,0.7637360095977783,1.1903756856918335
autoformer_csa,40,powder_600_800_t4t6,710.5,unknown,2d_test,1,0.761739194393158,1.1569548845291138
autoformer_csa,40,powder_600_800_t4t6,711.5,unknown,2d_test,1,0.7905418872833252,1.186635136604309
autoformer_csa,40,powder_600_800_t4t6,712.5,unknown,2d_test,1,0.8726403117179871,1.3058315515518188
autoformer_csa,40,powder_600_800_t4t6,713.5,unknown,2d_test,1,0.8773542046546936,1.2727850675582886
autoformer_csa,40,powder_600_800_t4t6,714.5,unknown,2d_test,1,0.9293182492256165,1.3633428812026978
autoformer_csa,40,powder_600_800_t4t6,715.5,unknown,2d_test,1,0.9167931079864502,1.47418475151062
autoformer_csa,40,powder_600_800_t4t6,716.5,unknown,2d_test,1,1.06088125705719,1.6504836082458496
autoformer_csa,40,powder_600_800_t4t6,717.5,unknown,2d_test,1,0.8176398277282715,1.284168720245361
autoformer_csa,40,powder_600_800_t4t6,718.5,unknown,2d_test,1,0.798237144947052,1.2628016471862793
autoformer_csa,40,powder_600_800_t4t6,719.5,unknown,2d_test,1,0.6705262064933777,1.10408616065979
autoformer_csa,40,powder_600_800_t4t6,720.5,unknown,2d_test,1,0.7652729749679565,1.201794147491455
autoformer_csa,40,powder_600_800_t4t6,721.5,unknown,2d_test,1,0.6945599317550659,1.1322431564331057
autoformer_csa,40,powder_600_800_t4t6,722.5,unknown,2d_test,1,0.8825013041496277,1.4271790981292725
autoformer_csa,40,powder_600_800_t4t6,723.5,unknown,2d_test,1,0.8441089391708374,1.2838890552520752
autoformer_csa,40,powder_600_800_t4t6,724.5,unknown,2d_test,1,0.8996204137802124,1.4805372953414917
autoformer_csa,40,powder_600_800_t4t6,725.5,unknown,2d_test,1,0.7019807696342468,1.2140979766845703
autoformer_csa,40,powder_600_800_t4t6,726.5,unknown,2d_test,1,0.6032119393348694,1.120523452758789
autoformer_csa,40,powder_600_800_t4t6,727.5,unknown,2d_test,1,0.7027063369750977,1.2680734395980835
autoformer_csa,40,powder_600_800_t4t6,728.5,unknown,2d_test,1,0.6192275881767273,1.0925959348678589
autoformer_csa,40,powder_600_800_t4t6,729.5,unknown,2d_test,1,0.9312397241592408,1.3403007984161377
autoformer_csa,40,powder_600_800_t4t6,730.5,unknown,2d_test,1,0.9204771518707277,1.322853922843933
autoformer_csa,40,powder_600_800_t4t6,731.5,unknown,2d_test,1,0.7214295864105225,1.0707932710647583
autoformer_csa,40,powder_600_800_t4t6,732.5,unknown,2d_test,1,0.9136688709259032,1.3089494705200195
autoformer_csa,40,powder_600_800_t4t6,733.5,unknown,2d_test,1,0.8242000937461853,1.141330599784851
