task_id,model,seed,horizon,n_targets,mae_db,rmse_db
new-site-new-band-ara-2400-2600,residualvanillalstm,42,60,1128400,1.6367396116256714,2.821057081222534
new-site-new-band-ara-2400-2600,linearar1d,42,1,1128400,1.3394412994384766,2.4242970943450928
new-site-new-band-ara-2400-2600,linearar1d,42,15,1128400,1.4486602544784546,2.5719034671783447
new-site-new-band-ara-2400-2600,linearar1d,42,60,1128400,1.6124365329742432,2.803293228149414
new-site-new-band-ara-2400-2600,residuallinearar1d,42,1,1128400,1.3366601467132568,2.4230639934539795
new-site-new-band-ara-2400-2600,residuallinearar1d,42,15,1128400,1.448866367340088,2.5742690563201904
new-site-new-band-ara-2400-2600,residuallinearar1d,42,60,1128400,1.6120332479476929,2.805370092391968
new-bands-powder-5725-5925,vanillalstm1d,42,1,3385200,5.471280097961426,11.240755081176758
new-bands-powder-5725-5925,vanillalstm1d,42,15,3385200,4.179966449737549,8.745437622070312
new-bands-powder-5725-5925,vanillalstm1d,42,60,3385200,4.487765789031982,8.990702629089355
new-bands-powder-5725-5925,residualvanillalstm,42,1,3385200,0.0560577847063541,0.1405603885650634
new-bands-powder-5725-5925,residualvanillalstm,42,15,3385200,0.0760892257094383,0.1600765883922577
new-bands-powder-5725-5925,residualvanillalstm,42,60,3385200,0.1323785185813903,0.2041544914245605
new-bands-powder-5725-5925,linearar1d,42,1,3385200,0.0536863692104816,0.1414287835359573
new-bands-powder-5725-5925,linearar1d,42,15,3385200,0.0631212815642356,0.1542540192604065
new-bands-powder-5725-5925,linearar1d,42,60,3385200,0.0941498875617981,0.1749178320169448
new-bands-powder-5725-5925,residuallinearar1d,42,1,3385200,0.0521896332502365,0.1407599449157714
new-bands-powder-5725-5925,residuallinearar1d,42,15,3385200,0.0581464134156703,0.1524947583675384
new-bands-powder-5725-5925,residuallinearar1d,42,60,3385200,0.0772790536284446,0.1624492555856704
new-site-aerpaw-600-800,vanillalstm1d,42,1,1692600,8.555432319641113,13.355302810668944
new-site-aerpaw-600-800,vanillalstm1d,42,15,1692600,9.120721817016602,13.643506050109863
new-site-aerpaw-600-800,vanillalstm1d,42,60,1692600,9.43529224395752,13.774500846862791
new-site-aerpaw-600-800,residualvanillalstm,42,1,1692600,1.0377490520477295,1.7949615716934204
new-site-aerpaw-600-800,residualvanillalstm,42,15,1692600,1.166828751564026,1.9987114667892456
new-site-aerpaw-600-800,residualvanillalstm,42,60,1692600,1.3750050067901611,2.2973902225494385
new-site-aerpaw-600-800,linearar1d,42,1,1692600,1.0503376722335815,1.803900957107544
new-site-aerpaw-600-800,linearar1d,42,15,1692600,1.170621037483215,2.000802755355835
new-site-aerpaw-600-800,linearar1d,42,60,1692600,1.3714320659637451,2.287292003631592
new-site-aerpaw-600-800,residuallinearar1d,42,1,1692600,1.045100212097168,1.7998889684677124
new-site-aerpaw-600-800,residuallinearar1d,42,15,1692600,1.1663475036621094,1.9988014698028564
new-site-aerpaw-600-800,residuallinearar1d,42,60,1692600,1.366745948791504,2.2874577045440674
new-site-new-band-aerpaw-2400-2600,vanillalstm1d,42,1,1692600,5.7714524269104,10.003631591796877
new-site-new-band-aerpaw-2400-2600,vanillalstm1d,42,15,1692600,5.305901527404785,8.968045234680176
new-site-new-band-aerpaw-2400-2600,vanillalstm1d,42,60,1692600,5.585816860198975,9.133000373840332
new-site-new-band-aerpaw-2400-2600,residualvanillalstm,42,1,1692600,0.95066636800766,1.7144830226898191
new-site-new-band-aerpaw-2400-2600,residualvanillalstm,42,15,1692600,1.0123111009597778,1.7979905605316162
new-site-new-band-aerpaw-2400-2600,residualvanillalstm,42,60,1692600,1.0928550958633425,1.9074894189834597
new-site-new-band-aerpaw-2400-2600,linearar1d,42,1,1692600,0.9544192552566528,1.7042866945266724
new-site-new-band-aerpaw-2400-2600,linearar1d,42,15,1692600,1.0073657035827637,1.7923593521118164
new-site-new-band-aerpaw-2400-2600,linearar1d,42,60,1692600,1.0827580690383911,1.8995991945266724
new-site-new-band-aerpaw-2400-2600,residuallinearar1d,42,1,1692600,0.954674482345581,1.7057424783706665
new-site-new-band-aerpaw-2400-2600,residuallinearar1d,42,15,1692600,1.008626937866211,1.7964227199554443
new-site-new-band-aerpaw-2400-2600,residuallinearar1d,42,60,1692600,1.0811336040496826,1.902590036392212
