model_name,seed,condition,band_id,start_mhz,end_mhz,objective,objective_name,test_mean_horizon_mae_db,test_mean_horizon_rmse_db,test_mae_db_t1,test_rmse_db_t1,test_mae_db_t15,test_rmse_db_t15,test_mae_db_t60,test_rmse_db_t60,test_n_values_t1,test_n_values_t15,test_n_values_t60
residuallinearar2d,44,full_context,R10,735.5,740.5,1.1762557506334004,val_mean_horizon_mae_db,0.9770350677561392,1.3792768213508986,0.8950071015297902,1.2675965443424262,0.971210686379631,1.3678354244006432,1.0648874153589964,1.5023984953096263,130662,130662,130662
residuallinearar2d,40,region_only,R10,735.5,740.5,1.1762276115324433,val_mean_horizon_mae_db,0.9785459683025165,1.3792363197144593,0.8963312264456297,1.2681317665115437,0.9723952641212468,1.368116998965448,1.0669114143406733,1.5014601936663867,130662,130662,130662
residuallinearar2d,41,region_only,R10,735.5,740.5,1.1781585817264577,val_mean_horizon_mae_db,0.9822592288726311,1.3790659502216738,0.8969532532087688,1.2677519982237784,0.9762689320369728,1.3680687696747882,1.0735555013721516,1.501377082766455,130662,130662,130662
residuallinearar2d,42,region_only,R10,735.5,740.5,1.174452815768556,val_mean_horizon_mae_db,0.9745847555048229,1.3809537583081763,0.8945112795217478,1.2677572509966575,0.9684179064031638,1.368949473948193,1.060825080589557,1.5061545499796785,130662,130662,130662
residuallinearar2d,43,region_only,R10,735.5,740.5,1.177847194401574,val_mean_horizon_mae_db,0.9792682340007616,1.3804320435444997,0.8978514106618409,1.2694907267843223,0.9736541817181,1.3699942640202418,1.0662991096223433,1.5018111398289349,130662,130662,130662
residuallinearar2d,44,region_only,R10,735.5,740.5,1.1762557506334004,val_mean_horizon_mae_db,0.9770350677561392,1.3792768213508986,0.8950071015297902,1.2675965443424262,0.971210686379631,1.3678354244006432,1.0648874153589964,1.5023984953096263,130662,130662,130662
residuallinearar2d,40,full_context,R11,741.5,745.5,0.8563175246817619,val_mean_horizon_mae_db,0.6922170354297745,1.1374904537118216,0.6374212423807093,1.0465681170976806,0.6885533714478363,1.12972088847485,0.7506764924607778,1.236182355562934,108885,108885,108885
residuallinearar2d,41,full_context,R11,741.5,745.5,0.8579770292823875,val_mean_horizon_mae_db,0.6928693625006996,1.1379052456928465,0.6382883633409819,1.0467309893172563,0.6893466581428774,1.130551596588708,0.7509730660182394,1.2364331511725748,108885,108885,108885
residuallinearar2d,42,full_context,R11,741.5,745.5,0.8560321380637053,val_mean_horizon_mae_db,0.6917059411328301,1.1389447809976134,0.6374503002244699,1.0468956059588654,0.6879658098330745,1.1311565085335618,0.749701713340946,1.2387822285004129,108885,108885,108885
residuallinearar2d,43,full_context,R11,741.5,745.5,0.8587519877271181,val_mean_horizon_mae_db,0.6942988051640621,1.138035741069906,0.6393085843916684,1.0478081631746081,0.6907226327770959,1.1309353439055274,0.7528651983234219,1.2353637161295827,108885,108885,108885
residuallinearar2d,44,full_context,R11,741.5,745.5,0.8596865411823077,val_mean_horizon_mae_db,0.6960204558451252,1.1367376080409255,0.6393934628334716,1.0468449276658713,0.6921381657010909,1.1292531502947136,0.7565297390008129,1.2341147461621915,108885,108885,108885
residuallinearar2d,40,region_only,R11,741.5,745.5,0.8563175246817619,val_mean_horizon_mae_db,0.6922170354297745,1.1374904537118216,0.6374212423807093,1.0465681170976806,0.6885533714478363,1.12972088847485,0.7506764924607778,1.236182355562934,108885,108885,108885
