search_stage,trial_id,status,model_name,chunk_id,seed,hidden_size,num_layers,dropout,output_strategy,bidirectional,learning_rate,batch_size,weight_decay,optimizer,gradient_clip_norm,epochs_requested,epochs_completed,best_epoch,train_loss_at_best,teacher_val_loss_at_best,val_ar_loss,rmse_t1_db,rmse_t5_db,rmse_t15_db,rmse_t60_db,mean_horizon_rmse_db,mae_t1_db,mae_t5_db,mae_t15_db,mae_t60_db,mean_horizon_mae_db,training_seconds,validation_seconds,total_seconds,checkpoint_path,config_path,error_message
optimization,opt_0027,completed,vanillalstm,powder_600_800,42,16,1,0.0,final_hidden,False,0.0005,32,0.0001,adam,1.0,15,7,4,0.6136904985486347,1.242433657172982,1.3748287044408667,2.203989956815309,2.2840555847849973,2.3432831063025827,2.4921112211954175,2.3308599672745767,1.1801434170444287,1.2245673932637748,1.2653909047488847,1.3807826614878451,1.2627210941362332,75.74,0.1,75.84,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/opt_0027_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/opt_0027.yaml,
optimization,opt_0028,completed,vanillalstm,powder_600_800,42,16,1,0.0,final_hidden,False,0.0005,64,0.0,adam,1.0,15,12,9,0.5972994562001565,1.2428905272301827,1.3444665224497554,2.21247429028761,2.28754791443946,2.3360841595247215,2.472698150332014,2.3272011286459513,1.1878988462918318,1.2315515801715058,1.2610452830880141,1.3656407325425957,1.261534110523487,66.0,0.06,66.06,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/opt_0028_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/opt_0028.yaml,
optimization,opt_0029,completed,vanillalstm,powder_600_800,42,16,1,0.0,final_hidden,False,0.0005,64,0.0001,adam,1.0,15,14,11,0.5786041164807868,1.2389017352621063,1.3877677280484264,2.2179929815729316,2.318324229772262,2.3928115762999216,2.5430302825381754,2.368039767545823,1.1860755332017994,1.2640616520268544,1.3264306588034025,1.4460237525933235,1.305647899156345,76.8,0.06,76.86,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/opt_0029_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/opt_0029.yaml,
optimization,opt_0030,completed,vanillalstm,powder_600_800,42,16,1,0.0,final_hidden,False,0.001,32,0.0,adam,1.0,15,6,3,0.5958966896149112,1.2680391519124272,1.3981740310901905,2.2582891073441225,2.3447068520388994,2.401729717699838,2.522285219237625,2.3817527240801213,1.2088811007425013,1.2728292094547609,1.3264438345003249,1.4355976498654162,1.3109379486407509,65.08,0.1,65.18,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/opt_0030_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/opt_0030.yaml,
optimization,opt_0031,completed,vanillalstm,powder_600_800,42,16,1,0.0,final_hidden,False,0.001,32,0.0001,adam,1.0,15,5,2,0.6275600206668054,1.268354441373403,1.3873572294948666,2.244181600157444,2.3358533783755937,2.394151720002247,2.481868285941686,2.3640137461192428,1.21742026312058,1.2838324923785291,1.3315731764431291,1.4096127537798366,1.3106096714305187,54.31,0.1,54.41,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/opt_0031_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/opt_0031.yaml,
optimization,opt_0032,completed,vanillalstm,powder_600_800,42,16,1,0.0,final_hidden,False,0.001,64,0.0,adam,1.0,15,12,9,0.5627984798389651,1.2331446563924542,1.388336989715809,2.2143760401896047,2.3124591081850663,2.3920184998011513,2.511499431177994,2.357588269838454,1.1825593661675884,1.2488380805631214,1.317121788084766,1.4252288025299225,1.2934370093363496,66.2,0.06,66.26,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/opt_0032_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/opt_0032.yaml,
optimization,opt_0033,completed,vanillalstm,powder_600_800,42,16,1,0.0,final_hidden,False,0.001,64,0.0001,adam,1.0,15,7,4,0.6076713976635174,1.2472977510845389,1.390829774259611,2.2124434523633822,2.307297017164308,2.3672031951323276,2.5137415078454333,2.3501712931263627,1.1846063901086987,1.2475751373871131,1.3008495602858365,1.4243579260187096,1.2893472534500894,38.69,0.06,38.75,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/opt_0033_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/opt_0033.yaml,
optimization,opt_0034,completed,vanillalstm,powder_600_800,42,16,1,0.0,final_hidden,False,0.003,32,0.0,adam,1.0,15,4,1,0.6767590893985007,1.268224617907109,1.3552876101195357,2.2474597535100216,2.315750859467048,2.3694560313638764,2.503969797652619,2.3591591104983913,1.1998375449766812,1.2344198603169756,1.265409231764587,1.3658756972599684,1.2663855835795532,43.18,0.1,43.28,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/opt_0034_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/opt_0034.yaml,
optimization,opt_0035,completed,vanillalstm,powder_600_800,42,16,1,0.0,final_hidden,False,0.003,32,0.0001,adam,1.0,15,5,2,0.5720215259778908,1.2272157669067383,1.3558005722424455,2.22195387547849,2.305839316556793,2.3530566600701777,2.4826428825952402,2.3408731836751753,1.1727914943190298,1.2195972237322845,1.262214692599306,1.3616516069263298,1.2540637543942377,54.03,0.1,54.14,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/opt_0035_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/opt_0035.yaml,
optimization,opt_0036,completed,vanillalstm,powder_600_800,42,16,1,0.0,final_hidden,False,0.003,64,0.0,adam,1.0,15,8,5,0.5528403873292891,1.2751269941111558,1.3922883608869014,2.271398178857731,2.315418561214788,2.3611899187666414,2.494028789474491,2.360508862078413,1.2125097253584916,1.2463184870726627,1.2895153634760674,1.3992265670908575,1.2868925357495198,43.95,0.06,44.01,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/checkpoints/opt_0036_best.pt,/home/jovyan/work/spectrum-usage/results/powder/600_800/hyperparameter_search/configs/opt_0036.yaml,
